@type	@id	@lat	@lon	name	addr:city
node	963528808	53.1441276	-1.5586567	The Sycamore Inn	Matlock
node	963712306	46.0688508	11.1201200	C&C Trento	Trento
node	975231684	50.5370288	14.7167788	Pension S láskou Karel	Bezděz
node	976327905	-37.8256920	144.9969960	Berties Butcher	
node	983735426	46.0698171	11.1236723	Dopplegänger	Trento
node	989411373	50.6849401	14.5361775	Restaurace Nebe	Česká Lípa
node	989412284	50.6843938	14.5560338	Restaurace Stará Lípa	
node	992813614	16.3708711	-86.4366545	Pirates of the Caribbean Zipline	Roatan
node	993412135	-36.8431230	174.7625747	Oyster & Chop	
node	995703334	19.2831619	-98.4351537	Elektra	
node	1001181763	-25.6850976	28.1888407	Pick n Pay	Pretoria
node	1026402288	-33.8812223	18.5082277	Pick n Pay	Brackenfell
node	1033910278	28.1000502	-82.3995584	China City	
node	1038192532	-34.4199626	19.2402462	Pick n Pay	Hermanus
node	1039378729	-26.7037213	27.8792346	Pick n Pay Hyper	
node	1039378746	-26.7100202	27.8216127	Pick n Pay	
node	1052321068	-1.3977779	-78.4223905	Deli Store	Baños de Agua Santa
node	1074896093	50.0684928	14.4066287	Potrefená husa	Praha
node	1077275919	37.0996923	-8.6724745	Jah Shaka Surf Shop	Lagos
node	1089313449	48.8499899	2.3459219	L'invitée	
node	1093607407	49.4682628	16.0897433	Balónový hotel a pivovar	Radešín
node	1093781438	51.0954159	13.7113306	Wasserwerk Trachau	Dresden
node	1096020083	50.0539648	14.4183959	Na Staré Sokolovně	Praha
node	1122326074	50.1305721	14.4565518	U Blekotů	Praha 8
node	1123505350	45.7782220	9.0440403	Mondo Convenienza	Montano Lucino
node	1129155319	46.5183958	6.6340684	Qwertz	Lausanne
node	1129566095	52.3873860	4.6366390	Come to Thai Wok	Haarlem
node	1146830326	-34.0711047	18.8226845	Pick n Pay	
node	1152641513	41.6395308	42.9869279	მეგატექნიკა	
node	1152642888	41.6410287	42.9766667	ვისოლ	
node	1157550564	42.0704926	42.8235839	ვისოლ	
node	1158876536	42.3339531	43.4114141	ვისოლ	
node	1159072271	42.1127300	43.0248615	ვისოლ	
node	1159072737	42.1141403	43.0316403	ვისოლ	ზესტაფონი
node	1163149992	-27.7589316	29.9288395	Pick n Pay	Newcastle
node	1164537205	42.2665396	42.6837369	მეგატექნიკა	
node	1164537228	42.2548226	42.6630169	ტექნო ბუმი	
node	1169203014	19.5561410	-99.1930683	Elektra	Tlalnepantla
node	1169743941	42.0206771	42.2432625	ვისოლ	
node	1172394325	49.7808809	14.4503536	Andrago Winery	
node	1179616142	41.4502301	44.5481001	ვისოლ	
node	1181813203	46.0085920	8.9518200	piadineria	Lugano
node	1185725194	42.5000782	41.8396977	გალფ+	
node	1185726733	42.1476077	41.6808956	ვისოლ	
node	1185728386	42.2665649	42.0708177	ვისოლ	
node	1185729031	42.5012416	41.8442199	ვისოლ	
node	1185729155	42.4947901	41.8597774	ვისოლ	
node	1185733110	42.1736551	41.6800749	ვისოლ	
node	1185812678	41.8613947	43.4129504	ვისოლ	
